randomisation_order,screened,initial_inclusion,final_inclusion,exclusion_reason,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
473,No,,,,,10.1371/journal.pone.0221929,PLOS ONE,Research Article,"Nazia Binte Ali,Tazeen Tahsina,Dewan Md Emdadul Hoque,Mohammad Mehedi Hasan,Afrin Iqbal,Tanvir M Huda,Shams El Arifeen",18,Association of food security and other socio-economic factors with dietary diversity and nutritional statuses of children aged 6-59 months in rural Bangladesh,"/Biology and life sciences/Nutrition,/Biology and life sciences/Nutrition/Diet/Food,/Biology and life sciences/Nutrition/Malnutrition,/Biology and life sciences/Physiology/Physiological processes/Food consumption,/Earth sciences/Geography/Geographic areas/Rural areas,/Medicine and health sciences/Nutrition,/Medicine and health sciences/Nutrition/Diet/Food,/Medicine and health sciences/Nutrition/Malnutrition,/Medicine and health sciences/Physiology/Physiological processes/Food consumption,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Families/Children,/People and places/Population groupings/Families/Mothers,/Social sciences/Economics/Labor economics/Employment",29/08/2019,TRUE
474,No,,,,,10.1371/journal.pone.0195458,PLOS ONE,Research Article,"Robert F Bentley,Joshua H Jones,Daniel M Hirai,Joel T Zelt,Matthew D Giles,James P Raleigh,Joe Quadrilatero,Brendon J Gurd,J Alberto Neder,Michael E Tschakovsky",17,Submaximal exercise cardiac output is increased by 4 weeks of sprint interval training in young healthy males with low initial Q<U+0307>-V<U+0307>O2: Importance of cardiac response phenotype,"/Biology and life sciences/Anatomy/Body fluids/Blood/Blood flow,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Cardiac muscles,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Skeletal muscles,/Biology and life sciences/Physiology/Body fluids/Blood/Blood flow,/Biology and life sciences/Physiology/Physiological processes/Respiration/Oxygen consumption,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Medicine and health sciences/Anatomy/Body fluids/Blood/Blood flow,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Cardiac muscles,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Skeletal muscles,/Medicine and health sciences/Cardiology/Cardiac output,/Medicine and health sciences/Physiology/Body fluids/Blood/Blood flow,/Medicine and health sciences/Physiology/Physiological processes/Respiration/Oxygen consumption,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Medicine and health sciences/Vascular medicine/Blood pressure,/Physical sciences/Chemistry/Chemical elements/Oxygen",23/01/2019,TRUE
475,No,,,,,10.1371/journal.pone.0222884,PLOS ONE,Research Article,"Gregory A Lewbart,Colon J Grijalva,Paul P Calle,Karen Ingerman,Juan Pablo Muñoz-Pérez,Galo Quezada,Carlos A Vera,Gabriele Gentile,Carlos A Valle",12,"Health assessment of Conolophus subcristatus, Conolophus pallidus, and C. subcristatus X Amblyrhynchus cristatus hybrid (Galápagos land iguanas)","/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Biochemistry,/Biology and life sciences/Biochemistry/Proteins/Hemoglobin,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Reptiles/Iguanas,/Biology and life sciences/Physiology/Body fluids/Blood,/Biology and life sciences/Physiology/Physiological parameters/Body temperature,/Earth sciences/Geomorphology/Topography/Landforms/Islands,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Hematology,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Physiology/Physiological parameters/Body temperature",16/10/2019,TRUE
476,No,,,,,10.1371/journal.pone.0217770,PLOS ONE,Research Article,"Kelly K Ferguson,Zaira Rosario,Thomas F McElrath,Carmen Vélez Vega,José F Cordero,Akram Alshawabkeh,John D Meeker",15,Demographic risk factors for adverse birth outcomes in Puerto Rico in the PROTECT cohort,"/Biology and life sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Medicine and health sciences/Endocrinology/Endocrine disorders/Diabetes mellitus/Gestational diabetes,/Medicine and health sciences/Epidemiology/Medical risk factors,/Medicine and health sciences/Metabolic disorders/Diabetes mellitus/Gestational diabetes,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Medicine and health sciences/Women's health/Maternal health/Birth,/Medicine and health sciences/Women's health/Maternal health/Birth/Labor and delivery,/Medicine and health sciences/Women's health/Maternal health/Birth/Preterm birth,/Medicine and health sciences/Women's health/Maternal health/Pregnancy,/Medicine and health sciences/Women's health/Maternal health/Pregnancy/Pregnancy complications/Preterm birth,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth/Labor and delivery,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth/Preterm birth,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy/Pregnancy complications/Preterm birth,/People and places/Geographical locations/North America/Caribbean/Puerto Rico",13/06/2019,TRUE
477,No,,,,,10.1371/journal.pone.0211743,PLOS ONE,Research Article,"Hasan Alhaddad,Tasneem Maraqa,Suha Alabdulghafour,Huda Alaskar,Randa Alaqeely,Faisal Almathen,Bader H Alhajeri",17,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair","/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Anatomy/Body fluids/Saliva,/Biology and life sciences/Anatomy/Integumentary system/Hair,/Biology and life sciences/Biochemistry/Nucleic acids/DNA,/Biology and life sciences/Biochemistry/Nucleic acids/DNA/DNA electrophoresis,/Biology and life sciences/Genetics/DNA,/Biology and life sciences/Genetics/DNA/DNA electrophoresis,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Camels,/Biology and life sciences/Physiology/Body fluids/Blood,/Biology and life sciences/Physiology/Body fluids/Saliva,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Anatomy/Body fluids/Saliva,/Medicine and health sciences/Anatomy/Integumentary system/Hair,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Physiology/Body fluids/Saliva,/Research and analysis methods/Electrophoretic techniques/DNA electrophoresis,/Research and analysis methods/Extraction techniques/DNA extraction,/Research and analysis methods/Separation processes/Elution",31/01/2019,TRUE
478,No,,,,,10.1371/journal.pone.0222839,PLOS ONE,Research Article,"Jia Guo,Yujia Tang,Honghui Zhang,Lisa Lommel,Jyu-Lin Chen",13,"The risk, perceived and actual, of developing type 2 diabetes mellitus for mothers of preschool children in urban China","/Medicine and health sciences/Endocrinology/Endocrine disorders/Diabetes mellitus,/Medicine and health sciences/Endocrinology/Endocrine disorders/Diabetes mellitus/Gestational diabetes,/Medicine and health sciences/Endocrinology/Endocrine disorders/Diabetes mellitus/Type 2 diabetes,/Medicine and health sciences/Epidemiology/Medical risk factors,/Medicine and health sciences/Metabolic disorders/Diabetes mellitus,/Medicine and health sciences/Metabolic disorders/Diabetes mellitus/Gestational diabetes,/Medicine and health sciences/Metabolic disorders/Diabetes mellitus/Type 2 diabetes,/Medicine and health sciences/Public and occupational health/Behavioral and social aspects of health,/Medicine and health sciences/Public and occupational health/Physical activity,/People and places/Population groupings/Ethnicities/Chinese people,/People and places/Population groupings/Families/Mothers",27/09/2019,TRUE
479,No,,,,,10.1371/journal.pone.0223058,PLOS ONE,Research Article,"Antonio Ivano Triggiani,Anna Valenzano,Valentina Trimigno,Antonella Di Palma,Fiorenzo Moscatelli,Giuseppe Cibelli,Giovanni Messina",12,Heart rate variability reduction is related to a high amount of visceral adiposity in healthy young women,"/Biology and life sciences/Anatomy/Anthropometry,/Biology and life sciences/Anatomy/Biological tissue/Adipose tissue,/Biology and life sciences/Biochemistry/Lipids/Fats,/Medicine and health sciences/Anatomy/Anthropometry,/Medicine and health sciences/Anatomy/Biological tissue/Adipose tissue,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Absorptiometry,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Absorptiometry,/Medicine and health sciences/Vascular medicine/Blood pressure/Hypertension,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Bioassays and physiological analysis/Electrophysiological techniques/Cardiac electrophysiology/Electrocardiography,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Absorptiometry,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",25/09/2019,TRUE
480,No,,,,,10.1371/journal.pone.0220190,PLOS ONE,Research Article,"Jihye Jang,Long H Ngo,Gabriella Captur,James C Moon,Reza Nezafat",19,Measurement reproducibility of slice-interleaved T1 and T2 mapping sequences over 20 months: A single center study,"/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Magnetic resonance imaging,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Magnetic resonance imaging,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Physical sciences/Physics/Classical mechanics/Precession,/Research and analysis methods/Database and informatics methods/Bioinformatics/Sequence analysis,/Research and analysis methods/Database and informatics methods/Bioinformatics/Sequence analysis/Comparative sequence analysis,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Magnetic resonance imaging,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Research assessment/Reproducibility,/Research and analysis methods/Research design/Longitudinal studies",25/07/2019,TRUE
481,No,,,,,10.1371/journal.pone.0210418,PLOS ONE,Research Article,"Anna M Polaski,Amy L Phelps,Matthew C Kostek,Kimberly A Szucs,Benedict J Kolber",29,Exercise-induced hypoalgesia: A meta-analysis of exercise dosing for the treatment of chronic pain,"/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Medicine and health sciences/Complementary and alternative medicine/Exercise therapy,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Pain/Lower back pain,/Medicine and health sciences/Pain management/Analgesics,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Pain/Lower back pain,/Medicine and health sciences/Pharmaceutics/Dose prediction methods,/Medicine and health sciences/Pharmacology/Drugs/Analgesics,/Medicine and health sciences/Public and occupational health/Physical activity,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Rheumatology/Arthritis/Osteoarthritis,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",9/01/2019,TRUE
482,No,,,,,10.1371/journal.pone.0213254,PLOS ONE,Research Article,"Renzo Flores-Ortiz,Deborah Carvalho Malta,Gustavo Velasquez-Melendez",18,Adult body weight trends in 27 urban populations of Brazil from 2006 to 2016: A population-based study,"/Biology and life sciences/Physiology/Physiological parameters/Body weight,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity/Morbid obesity,/Engineering and technology/Equipment/Communication equipment/Telephones,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Physiology/Physiological parameters/Body weight,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity/Morbid obesity,/Medicine and health sciences/Public and occupational health,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/People and places/Geographical locations/South America/Brazil",6/03/2019,TRUE
483,No,,,,,10.1371/journal.pone.0215413,PLOS ONE,Research Article,"Magnus Ekström,Anna Engblom,Adam Ilic,Nicholas Holthius,Peter Nordström,Ivar Vaara",11,Calculated arterial blood gas values from a venous sample and pulse oximetry: Clinical validation,"/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Biology and life sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Medicine and health sciences/Diagnostic medicine,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Hypercapnia,/Medicine and health sciences/Health care/Patients/Inpatients,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Hypercapnia,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Pulmonology/Chronic obstructive pulmonary disease,/Physical sciences/Chemistry/Chemical elements/Oxygen,/Physical sciences/Physics/States of matter/Fluids/Gases",12/04/2019,TRUE
484,No,,,,,10.1371/journal.pone.0225100,PLOS ONE,Research Article,"Sahn Woo Park,Hyun Jae Jang,Mincheol Kim,Jeehyun Kwag",23,Spatiotemporally random and diverse grid cell spike patterns contribute to the transformation of grid cell to place cell in a neural network model,"/Biology and life sciences/Anatomy/Brain/Hippocampus,/Biology and life sciences/Anatomy/Nervous system/Synapses,/Biology and life sciences/Cell biology/Cell physiology,/Biology and life sciences/Cell biology/Cell physiology/Cell transformation,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Neurons/Neuronal dendrites,/Biology and life sciences/Neuroscience/Cellular neuroscience/Neurons/Neuronal dendrites,/Biology and life sciences/Neuroscience/Neural networks,/Biology and life sciences/Neuroscience/Neurophysiology/Action potentials,/Biology and life sciences/Neuroscience/Neurophysiology/Synapses,/Biology and life sciences/Physiology/Electrophysiology/Membrane potential/Action potentials,/Biology and life sciences/Physiology/Electrophysiology/Neurophysiology/Action potentials,/Biology and life sciences/Physiology/Electrophysiology/Neurophysiology/Synapses,/Computer and information sciences/Neural networks,/Medicine and health sciences/Anatomy/Brain/Hippocampus,/Medicine and health sciences/Anatomy/Nervous system/Synapses,/Medicine and health sciences/Physiology/Electrophysiology/Membrane potential/Action potentials,/Medicine and health sciences/Physiology/Electrophysiology/Neurophysiology/Action potentials,/Medicine and health sciences/Physiology/Electrophysiology/Neurophysiology/Synapses,/Physical sciences/Physics/Classical mechanics/Precession",14/11/2019,TRUE
485,No,,,,,10.1371/journal.pone.0208452,PLOS ONE,Research Article,"Gøran Paulsen,Hedda Ø Eidsheim,Christian Helland,Olivier Seynnes,Paul A Solberg,Bent R Rønnestad",15,Eccentric cycling does not improve cycling performance in amateur cyclists,"/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Physiology/Body fluids/Blood,/Biology and life sciences/Psychology/Behavior/Human performance,/Biology and life sciences/Psychology/Behavior/Recreation/Sports,/Biology and life sciences/Sports science/Sports,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise/Strength training,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise/Strength training,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise/Strength training,/Physical sciences/Physics/Classical mechanics/Motion/Torque,/Research and analysis methods/Bioassays and physiological analysis/Muscle analysis,/Social sciences/Psychology/Behavior/Human performance,/Social sciences/Psychology/Behavior/Recreation/Sports",2/01/2019,TRUE
486,No,,,,,10.1371/journal.pone.0225032,PLOS ONE,Research Article,"Roy Müller,Lisa Tronicke,Rainer Abel,Knut Lechler",15,Prosthetic push-off power in trans-tibial amputee level ground walking: A systematic review,"/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Legs/Ankles,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Legs/Feet,/Biology and life sciences/Bioengineering/Biotechnology/Medical devices and equipment/Assistive technologies/Prosthetics,/Biology and life sciences/Physiology/Biological locomotion/Walking,/Engineering and technology/Bioengineering/Biotechnology/Medical devices and equipment/Assistive technologies/Prosthetics,/Engineering and technology/Technology development/Prototypes,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Legs/Ankles,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Legs/Feet,/Medicine and health sciences/Medical devices and equipment/Assistive technologies/Prosthetics,/Medicine and health sciences/Physiology/Biological locomotion/Walking,/Research and analysis methods/Database and informatics methods/Database searching,/Research and analysis methods/Research assessment/Systematic reviews",19/11/2019,TRUE
487,No,,,,,10.1371/journal.pone.0223559,PLOS ONE,Research Article,"Michael Reid,Glenna Roberts,Eric Goosby,Paul Wesson",10,Monitoring Universal Health Coverage (UHC) in high Tuberculosis burden countries: Tuberculosis mortality an important tracer of UHC service coverage,"/Biology and life sciences/Anatomy/Body fluids/Blood/Blood counts,/Biology and life sciences/Physiology/Body fluids/Blood/Blood counts,/Biology and life sciences/Population biology/Population metrics/Death rates,/Medicine and health sciences/Anatomy/Body fluids/Blood/Blood counts,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Infectious diseases/Bacterial diseases/Tuberculosis,/Medicine and health sciences/Physiology/Body fluids/Blood/Blood counts,/Medicine and health sciences/Public and occupational health,/Medicine and health sciences/Public and occupational health/Global health,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/Medicine and health sciences/Tropical diseases/Tuberculosis,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Social sciences/Economics/Finance",30/10/2019,TRUE
488,No,,,,,10.1371/journal.pone.0222888,PLOS ONE,Research Article,"Carolyn A Fahey,Jonathan Chevrier,Madelein Crause,Muvhulawa Obida,Riana Bornman,Brenda Eskenazi",15,"Seasonality of antenatal care attendance, maternal dietary intake, and fetal growth in the VHEMBE birth cohort, South Africa","/Biology and life sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Earth sciences/Seasons,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Medicine and health sciences/Women's health/Maternal health/Antenatal care,/Medicine and health sciences/Women's health/Maternal health/Birth,/Medicine and health sciences/Women's health/Maternal health/Birth/Labor and delivery,/Medicine and health sciences/Women's health/Maternal health/Pregnancy,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth/Labor and delivery,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy,/People and places/Population groupings/Age groups/Children/Infants,/People and places/Population groupings/Families/Children/Infants,/Physical sciences/Chemistry/Chemical compounds/Organic compounds/Carbohydrates,/Physical sciences/Chemistry/Organic chemistry/Organic compounds/Carbohydrates",25/09/2019,TRUE
489,No,,,,,10.1371/journal.pone.0222172,PLOS ONE,Research Article,"Carla Abi Doumit,Chadia Haddad,Hala Sacre,Pascale Salameh,Marwan Akel,Sahar Obeid,Maria Akiki,Elie Mattar,Najla Hilal,Souheil Hallit,Michel Soufia",16,"Knowledge, attitude and behaviors towards patients with mental illness: Results from a national Lebanese study","/Biology and life sciences/Psychology/Behavior,/Biology and life sciences/Psychology/Emotions/Fear,/Biology and life sciences/Psychology/Psychometrics,/Medicine and health sciences/Mental health and psychiatry,/People and places/Geographical locations/Asia/Lebanon,/People and places/Population groupings/Ethnicities/Arabic people,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Social sciences/Psychology/Behavior,/Social sciences/Psychology/Emotions/Fear,/Social sciences/Psychology/Psychometrics,/Social sciences/Sociology/Social discrimination",16/09/2019,TRUE
490,No,,,,,10.1371/journal.pone.0216794,PLOS ONE,Research Article,"Benjamin A McKenzie,Alan E Wilson,Sarah Zohdy",16,Aedes albopictus is a competent vector of Zika virus: A meta-analysis,"/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Flaviviruses/Zika virus,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Togaviruses/Alphaviruses/Chikungunya virus,/Biology and life sciences/Microbiology/Virology/Viral transmission and infection/Viral vectors,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects/Mosquitoes,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects/Mosquitoes/Aedes aegypti,/Biology and life sciences/Organisms/Viruses/RNA viruses/Flaviviruses/Zika virus,/Biology and life sciences/Organisms/Viruses/RNA viruses/Togaviruses/Alphaviruses/Chikungunya virus,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Flaviviruses/Zika virus,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Togaviruses/Alphaviruses/Chikungunya virus,/Biology and life sciences/Physiology/Body fluids/Blood,/Biology and life sciences/Species interactions/Disease vectors/Insect vectors/Mosquitoes,/Biology and life sciences/Species interactions/Disease vectors/Insect vectors/Mosquitoes/Aedes aegypti,/Biology and life sciences/Species interactions/Disease vectors/Viral vectors,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Infectious diseases/Disease vectors/Insect vectors/Mosquitoes,/Medicine and health sciences/Infectious diseases/Disease vectors/Insect vectors/Mosquitoes/Aedes aegypti,/Medicine and health sciences/Infectious diseases/Disease vectors/Viral vectors,/Medicine and health sciences/Infectious diseases/Vector-borne diseases,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Flaviviruses/Zika virus,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Togaviruses/Alphaviruses/Chikungunya virus,/Medicine and health sciences/Physiology/Body fluids/Blood,/Physical sciences/Mathematics/Statistics/Statistical methods/Metaanalysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Metaanalysis",21/05/2019,TRUE
491,No,,,,,10.1371/journal.pone.0221274,PLOS ONE,Research Article,"Asibul Islam Anik,Md Mosfequr Rahman,Md Mostafizur Rahman,Md Ismail Tareque,Md Nuruzzaman Khan,M Mahmudul Alam",16,"Double burden of malnutrition at household level: A comparative study among Bangladesh, Nepal, Pakistan, and Myanmar","/Biology and life sciences/Nutrition,/Biology and life sciences/Nutrition/Malnutrition,/Medicine and health sciences/Epidemiology/Medical risk factors,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Nutrition,/Medicine and health sciences/Nutrition/Malnutrition,/Medicine and health sciences/Pediatrics/Neonatology/Breast feeding,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/Medicine and health sciences/Women's health/Maternal health/Breast feeding,/People and places/Geographical locations/Asia/Bangladesh,/People and places/Geographical locations/Asia/Nepal,/People and places/Geographical locations/Asia/Pakistan",16/08/2019,TRUE
492,No,,,,,10.1371/journal.pone.0213003,PLOS ONE,Research Article,"Linda N Douma,Ellen Uiters,Danielle R M Timmermans",17,Do people with a different goal-orientation or specific focus make different decisions about colorectal cancer-screening participation?,"/Biology and life sciences/Anatomy/Digestive system/Gastrointestinal tract/Colon,/Medicine and health sciences/Anatomy/Digestive system/Gastrointestinal tract/Colon,/Medicine and health sciences/Diagnostic medicine/Cancer detection and diagnosis/Cancer screening,/Medicine and health sciences/Health care/Health care policy/Screening guidelines,/Medicine and health sciences/Oncology/Cancer detection and diagnosis/Cancer screening,/Medicine and health sciences/Oncology/Cancer prevention,/Medicine and health sciences/Oncology/Cancer treatment,/Medicine and health sciences/Oncology/Cancers and neoplasms/Colorectal cancer,/Medicine and health sciences/Public and occupational health/Health screening,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis",28/02/2019,TRUE
493,No,,,,,10.1371/journal.pone.0216051,PLOS ONE,Research Article,"Rebecca P Thomas,Leah A L Wang,Whitney Guthrie,Meredith Cola,Joseph P McCleery,Juhi Pandey,Robert T Schultz,Judith S Miller",16,What’s in a name? A preliminary event-related potential study of response to name in preschool children with and without autism spectrum disorder,"/Biology and life sciences/Anatomy/Brain/Cerebral hemispheres/Left hemisphere,/Biology and life sciences/Neuroscience/Brain mapping/Electroencephalography/Event-related potentials,/Biology and life sciences/Neuroscience/Cognitive science/Cognition,/Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Language,/Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Motivation,/Biology and life sciences/Neuroscience/Neuroimaging/Electroencephalography/Event-related potentials,/Biology and life sciences/Neuroscience/Neurophysiology/Brain electrophysiology/Electroencephalography/Event-related potentials,/Biology and life sciences/Physiology/Electrophysiology/Neurophysiology/Brain electrophysiology/Electroencephalography/Event-related potentials,/Biology and life sciences/Psychology/Behavior/Motivation,/Biology and life sciences/Psychology/Cognitive psychology/Language,/Biology and life sciences/Psychology/Cognitive psychology/Motivation,/Biology and life sciences/Psychology/Developmental psychology/Pervasive developmental disorders/Autism spectrum disorder,/Medicine and health sciences/Anatomy/Brain/Cerebral hemispheres/Left hemisphere,/Medicine and health sciences/Clinical medicine/Clinical neurophysiology/Electroencephalography/Event-related potentials,/Medicine and health sciences/Physiology/Electrophysiology/Neurophysiology/Brain electrophysiology/Electroencephalography/Event-related potentials,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Families/Children,/Research and analysis methods/Bioassays and physiological analysis/Electrophysiological techniques/Brain electrophysiology/Electroencephalography/Event-related potentials,/Research and analysis methods/Imaging techniques/Neuroimaging/Electroencephalography/Event-related potentials,/Social sciences/Psychology/Behavior/Motivation,/Social sciences/Psychology/Cognitive psychology/Language,/Social sciences/Psychology/Cognitive psychology/Motivation,/Social sciences/Psychology/Developmental psychology/Pervasive developmental disorders/Autism spectrum disorder,/Social sciences/Sociology/Communications/Social communication",7/05/2019,TRUE
494,No,,,,,10.1371/journal.pone.0211756,PLOS ONE,Research Article,"Diego F Joseph,Jose A Nakamoto,Oscar Andree Garcia Ruiz,Katherin Peñaranda,Ana Elena Sanchez-Castro,Pablo Soriano Castillo,Pohl Milón",20,DNA aptamers for the recognition of HMGB1 from Plasmodium falciparum,"/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Biochemistry/Biomarkers,/Biology and life sciences/Genetics/Gene expression,/Biology and life sciences/Molecular biology/Molecular biology techniques/Artificial gene amplification and extension/Polymerase chain reaction,/Biology and life sciences/Organisms/Eukaryota/Protozoans/Parasitic protozoans/Malarial parasites/Plasmodium falciparum,/Biology and life sciences/Parasitology/Parasite groups/Apicomplexa/Plasmodium,/Biology and life sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Parasitic diseases/Malaria,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Tropical diseases/Malaria,/Research and analysis methods/Database and informatics methods/Bioinformatics/Sequence analysis/Sequence motif analysis,/Research and analysis methods/Molecular biology techniques/Artificial gene amplification and extension/Polymerase chain reaction",9/04/2019,TRUE
